Resonance Wavelength (nm),Q Factor,FWHM (nm),ER (dB)
1546.4861260894918,14861.618299070673,0.10405906644676756,17.01697572864281
1548.490787495685,14689.877186702339,0.10541209894507624,16.091526577453923
1550.4947334652038,14318.286140071341,0.10828773208589323,15.450633876959555
1552.5091402848032,14365.993016134566,0.10806834853261917,18.78471822432826
1554.5266342635416,14522.002084321375,0.10704630292966838,14.680102065315836
1556.5502362105278,14413.758072689097,0.10799058984900324,13.597242580918179
1558.583571772643,13775.713521460573,0.11313995237666598,21.241010301976228
1560.6224985083838,13768.588199525055,0.11334658832793164,16.356649022013038
1562.6698915108518,13880.257444555595,0.11258219797096018,13.680472681652708
1564.7200978985966,13850.47221593073,0.11297232856067282,12.769860029135794
